stratum,games,capture,check,mate,castle_short,castle_long,promotion,en_passant,disambiguated
blitz|1400-1799,1464,23140,7178,369,1949,415,248,52,3343
blitz|1800-2199,985,15992,4687,194,1435,209,159,40,2549
blitz|<1400,1065,15953,5384,364,1186,297,185,23,1745
blitz|>=2200,113,1971,548,14,160,25,24,3,347
bullet|1400-1799,923,14384,3496,202,1206,266,104,25,2021
bullet|1800-2199,981,15911,4073,250,1383,255,148,41,2448
bullet|<1400,536,7574,1907,103,639,154,51,11,919
bullet|>=2200,411,7025,1840,97,564,129,79,19,1126
classical|1400-1799,100,1427,529,31,122,21,20,4,154
classical|1800-2199,82,1325,350,14,117,22,9,2,232
classical|<1400,82,1125,409,32,74,17,12,1,106
classical|>=2200,4,39,6,0,1,1,0,0,8
rapid|1400-1799,441,6902,2235,124,588,106,64,10,901
rapid|1800-2199,194,3143,960,38,281,49,33,14,481
rapid|<1400,519,7656,2821,202,534,130,109,7,739
rapid|>=2200,100,1750,663,21,136,23,19,8,247
