tokenizer,notation,games,tokens_per_char
gpt2,san,100,0.8806914576550965
gpt2,san,500,0.8791152115985216
gpt2,san,1000,0.878854206318995
gpt2,san,2000,0.8789142354941633
gpt2,san,5000,0.8789252573927462
gpt2,san,8000,0.8791321232284489
gpt2,uci,100,1.0
gpt2,uci,500,1.0
gpt2,uci,1000,1.0
gpt2,uci,2000,1.0
gpt2,uci,5000,1.0
gpt2,uci,8000,1.0
gpt2,fen,100,0.8293954134815844
gpt2,fen,500,0.8263088316024154
gpt2,fen,1000,0.8265915452122617
gpt2,fen,2000,0.8269631096030791
gpt2,fen,5000,0.8265388930599024
gpt2,fen,8000,0.8266745061494011
cl100k_base,san,100,0.841900132972626
cl100k_base,san,500,0.8395365939848906
cl100k_base,san,1000,0.838813285116102
cl100k_base,san,2000,0.838835711965763
cl100k_base,san,5000,0.8388990882095533
cl100k_base,san,8000,0.8390239378173234
cl100k_base,uci,100,1.0
cl100k_base,uci,500,1.0
cl100k_base,uci,1000,1.0
cl100k_base,uci,2000,1.0
cl100k_base,uci,5000,1.0
cl100k_base,uci,8000,1.0
cl100k_base,fen,100,0.8198268028010905
cl100k_base,fen,500,0.8145117019012088
cl100k_base,fen,1000,0.8152118157387067
cl100k_base,fen,2000,0.8156053355254788
cl100k_base,fen,5000,0.8151613057427826
cl100k_base,fen,8000,0.8154155925067728
o200k_base,san,100,0.8218166811866661
o200k_base,san,500,0.8184388221922964
o200k_base,san,1000,0.8178720974495622
o200k_base,san,2000,0.8179367035402457
o200k_base,san,5000,0.8177178051318114
o200k_base,san,8000,0.8179385533193115
o200k_base,uci,100,1.0
o200k_base,uci,500,1.0
o200k_base,uci,1000,1.0
o200k_base,uci,2000,1.0
o200k_base,uci,5000,1.0
o200k_base,uci,8000,1.0
o200k_base,fen,100,0.824156732773828
o200k_base,fen,500,0.8190098477464457
o200k_base,fen,1000,0.819769840650334
o200k_base,fen,2000,0.8201070628186685
o200k_base,fen,5000,0.8197042423424411
o200k_base,fen,8000,0.819926099902918
mistral,san,100,0.887706909991288
mistral,san,500,0.8865266515763636
mistral,san,1000,0.8858012942519985
mistral,san,2000,0.8857611623774861
mistral,san,5000,0.8858575931460565
mistral,san,8000,0.886060656831448
mistral,uci,100,1.0
mistral,uci,500,1.0
mistral,uci,1000,1.0
mistral,uci,2000,1.0
mistral,uci,5000,1.0
mistral,uci,8000,1.0
mistral,fen,100,0.8903886245790346
mistral,fen,500,0.8876919974456358
mistral,fen,1000,0.8877248346844787
mistral,fen,2000,0.8879433397503919
mistral,fen,5000,0.887364078857461
mistral,fen,8000,0.8875735433585452
pgn_tokenizer,san,100,0.3463249117336879
pgn_tokenizer,san,500,0.34785058689817866
pgn_tokenizer,san,1000,0.34747335363532544
pgn_tokenizer,san,2000,0.34743556676410464
pgn_tokenizer,san,5000,0.34726621379761535
pgn_tokenizer,san,8000,0.3473780894623939
pgn_tokenizer,uci,100,0.5739021329987453
pgn_tokenizer,uci,500,0.5749221277105547
pgn_tokenizer,uci,1000,0.5748861292139652
pgn_tokenizer,uci,2000,0.5750567895593355
pgn_tokenizer,uci,5000,0.5754823336975766
pgn_tokenizer,uci,8000,0.5753580280268449
pgn_tokenizer,fen,100,0.8705030202597958
pgn_tokenizer,fen,500,0.8664168319161093
pgn_tokenizer,fen,1000,0.8657626816240508
pgn_tokenizer,fen,2000,0.8668006000438988
pgn_tokenizer,fen,5000,0.8658602082507332
pgn_tokenizer,fen,8000,0.866188514316347
grammar,san,100,0.983309642808015
grammar,san,500,0.9823118726302016
grammar,san,1000,0.9821469356680624
grammar,san,2000,0.9825137081828776
grammar,san,5000,0.982382875132455
grammar,san,8000,0.9825120197701659
grammar,uci,100,1.0
grammar,uci,500,1.0
grammar,uci,1000,1.0
grammar,uci,2000,1.0
grammar,uci,5000,1.0
grammar,uci,8000,1.0
grammar,fen,100,1.0
grammar,fen,500,1.0
grammar,fen,1000,1.0
grammar,fen,2000,1.0
grammar,fen,5000,1.0
grammar,fen,8000,1.0
