tokenizer,category,coverage
cl100k_base,castling,0.0
cl100k_base,fen_atoms,0.75
cl100k_base,markers,1.0
cl100k_base,piece_letters,1.0
cl100k_base,san_promotions,0.0
cl100k_base,squares,0.0
cl100k_base,top20_san,0.0
cl100k_base,uci_moves,0.0
gpt2,castling,0.0
gpt2,fen_atoms,0.75
gpt2,markers,1.0
gpt2,piece_letters,1.0
gpt2,san_promotions,0.0
gpt2,squares,0.0
gpt2,top20_san,0.0
gpt2,uci_moves,0.0
grammar,castling,1.0
grammar,fen_atoms,0.75
grammar,markers,1.0
grammar,piece_letters,1.0
grammar,san_promotions,0.0
grammar,squares,0.0
grammar,top20_san,0.05
grammar,uci_moves,0.0
mistral,castling,0.0
mistral,fen_atoms,0.75
mistral,markers,1.0
mistral,piece_letters,1.0
mistral,san_promotions,0.0
mistral,squares,0.0
mistral,top20_san,0.0
mistral,uci_moves,0.0
o200k_base,castling,0.0
o200k_base,fen_atoms,0.75
o200k_base,markers,1.0
o200k_base,piece_letters,1.0
o200k_base,san_promotions,0.0
o200k_base,squares,0.0
o200k_base,top20_san,0.0
o200k_base,uci_moves,0.0
pgn_tokenizer,castling,1.0
pgn_tokenizer,fen_atoms,0.25
pgn_tokenizer,markers,1.0
pgn_tokenizer,piece_letters,1.0
pgn_tokenizer,san_promotions,0.0
pgn_tokenizer,squares,0.75
pgn_tokenizer,top20_san,1.0
pgn_tokenizer,uci_moves,0.0
