tokenizer,unit,count,tokens,tokens_per_char
gpt2,O-O-O+,31,6,1.0
gpt2,Bxg6+,36,5,1.0
gpt2,Qxg2#,63,5,1.0
gpt2,O-O-O,2088,5,1.0
gpt2,Nxg3+,20,5,1.0
gpt2,Qxg3+,83,5,1.0
gpt2,Qxh7+,72,5,1.0
gpt2,hxg6+,22,5,1.0
cl100k_base,Bxg6+,36,5,1.0
cl100k_base,Qxg2#,63,5,1.0
cl100k_base,Qxg3+,83,5,1.0
cl100k_base,Qxh7+,72,5,1.0
cl100k_base,Bxg3+,26,5,1.0
cl100k_base,Qxg8+,27,5,1.0
cl100k_base,d1=Q+,20,5,1.0
cl100k_base,Bxg4+,21,5,1.0
o200k_base,Bxg6+,36,5,1.0
o200k_base,Qxg2#,63,5,1.0
o200k_base,Qxg3+,83,5,1.0
o200k_base,Bxg3+,26,5,1.0
o200k_base,Qxg8+,27,5,1.0
o200k_base,d1=Q+,20,5,1.0
o200k_base,Bxg4+,21,5,1.0
o200k_base,Qxg5+,83,5,1.0
mistral,O-O-O+,31,6,1.0
mistral,Bxg6+,36,5,1.0
mistral,Qxg2#,63,5,1.0
mistral,O-O-O,2088,5,1.0
mistral,Nxg3+,20,5,1.0
mistral,Rxg3+,54,5,1.0
mistral,Qxg3+,83,5,1.0
mistral,Rxh7+,41,5,1.0
pgn_tokenizer,d8=Q+,26,5,1.0
pgn_tokenizer,b8=Q+,27,5,1.0
pgn_tokenizer,d8=Q,38,4,1.0
pgn_tokenizer,g8=Q,55,4,1.0
pgn_tokenizer,c8=Q,62,4,1.0
pgn_tokenizer,h8=Q,61,4,1.0
pgn_tokenizer,a8=Q,64,4,1.0
pgn_tokenizer,b8=Q,50,4,1.0
grammar,Bxg6+,36,5,1.0
grammar,Rxf1+,154,5,1.0
grammar,Rxe1+,217,5,1.0
grammar,Nxf3+,355,5,1.0
grammar,Rxe3+,36,5,1.0
grammar,Bxf6+,60,5,1.0
grammar,Rxf6+,47,5,1.0
grammar,Qxg2#,63,5,1.0
