tokenizer,placement,side,castling,en_passant,halfmove,fullmove,kind
gpt2,41.797620485565886,1.0,1.667190079317148,1.0019728630671982,1.0,1.0,fertility
gpt2,0.0,0.0,0.0,0.0,0.0,0.0,unk_rate
cl100k_base,39.151145468454324,1.0,1.667190079317148,1.0019728630671982,2.0,2.0,fertility
cl100k_base,0.0,0.0,0.0,0.0,0.0,0.0,unk_rate
o200k_base,39.410134074163544,1.0,1.667190079317148,1.0019728630671982,2.0,2.0,fertility
o200k_base,0.0,0.0,0.0,0.0,0.0,0.0,unk_rate
mistral,42.43560011273503,1.0,1.667190079317148,1.0019728630671982,2.0190240367194106,2.839755203929621,fertility
mistral,0.0,0.0,0.0,0.0,0.0,0.0,unk_rate
pgn_tokenizer,40.28215968112091,2.0,2.167109554293997,1.9980271369328018,1.4491283166243911,1.8392116600233523,fertility
pgn_tokenizer,1.0,1.0,0.2655513950960261,0.0,0.0,0.0,unk_rate
grammar,45.8910093811652,1.0,1.667190079317148,1.0019728630671982,1.0190240367194106,1.8397552039296212,fertility
grammar,0.0,0.0,0.0,0.0,0.0,0.0,unk_rate
