tokenizer,notation,units,fertility,tokens_per_char,split_rate,unk_unit_rate
gpt2,san,532673,2.758183726226034,0.8791321232284489,1.0,0.0
gpt2,uci,532673,4.0023729379938535,1.0,1.0,0.0
gpt2,fen,49674,47.46678342795023,0.8266745061494011,1.0,0.0
cl100k_base,san,532673,2.6323485515503884,0.8390239378173234,1.0,0.0
cl100k_base,uci,532673,4.0023729379938535,1.0,1.0,0.0
cl100k_base,fen,49674,46.82030841083867,0.8154155925067728,1.0,0.0
o200k_base,san,532673,2.5661953956742694,0.8179385533193115,1.0,0.0
o200k_base,uci,532673,4.0023729379938535,1.0,1.0,0.0
o200k_base,fen,49674,47.07929701654789,0.819926099902918,1.0,0.0
mistral,san,532673,2.7799212650162484,0.886060656831448,1.0,0.0
mistral,uci,532673,4.0023729379938535,1.0,1.0,0.0
mistral,fen,49674,50.96354229576841,0.8875735433585452,1.0,0.0
pgn_tokenizer,san,532673,1.089861885246671,0.3473780894623939,0.08451338813868921,0.0
pgn_tokenizer,uci,532673,2.302797401032153,0.5753580280268449,1.0,0.0023091089655379567
pgn_tokenizer,fen,49674,49.73563634899545,0.866188514316347,1.0,1.0
grammar,san,532673,3.082527178963454,0.9825120197701659,0.9766085384466643,0.0
grammar,uci,532673,4.0023729379938535,1.0,1.0,0.0
grammar,fen,49674,57.41895156419857,1.0,1.0,0.0
