tokenizer,notation,split_rate,split_lo,split_hi
gpt2,san,1.0,1.0,1.0
gpt2,uci,1.0,1.0,1.0
gpt2,fen,1.0,1.0,1.0
cl100k_base,san,1.0,1.0,1.0
cl100k_base,uci,1.0,1.0,1.0
cl100k_base,fen,1.0,1.0,1.0
o200k_base,san,1.0,1.0,1.0
o200k_base,uci,1.0,1.0,1.0
o200k_base,fen,1.0,1.0,1.0
mistral,san,1.0,1.0,1.0
mistral,uci,1.0,1.0,1.0
mistral,fen,1.0,1.0,1.0
pgn_tokenizer,san,0.08451338813868921,0.08331158817274163,0.08565101923208009
pgn_tokenizer,uci,1.0,1.0,1.0
pgn_tokenizer,fen,1.0,1.0,1.0
grammar,san,0.9766085384466643,0.9763314413139488,0.9768742810278023
grammar,uci,1.0,1.0,1.0
grammar,fen,1.0,1.0,1.0
